Ticker,Date,Close ₹,Signal,BUY %,HOLD %,SELL %,Confidence
DLF.NS,2026-03-02,590.2,BUY,100.0,0.0,0.0,100.0
RUSTOMJEE.NS,2026-03-02,433.8,BUY,97.9,2.1,0.0,97.9
SHRIRAMPPS.NS,2026-03-02,76.45,BUY,100.0,0.0,0.0,100.0
ARVSMART.NS,2026-03-02,516.2,BUY,100.0,0.0,0.0,100.0
DBREALTY.NS,2026-03-02,108.16,BUY,99.9,0.1,0.0,99.9
KOLTEPATIL.NS,2026-03-02,343.95,BUY,100.0,0.0,0.0,100.0
ANANTRAJ.NS,2026-03-02,509.1,BUY,100.0,0.0,0.0,100.0
PENINLAND.NS,2026-03-02,17.69,BUY,100.0,0.0,0.0,100.0
MAHLIFE.NS,2026-03-02,348.05,BUY,100.0,0.0,0.0,100.0
OBEROIRLTY.NS,2026-03-02,1490.7,BUY,100.0,0.0,0.0,100.0
PHOENIXLTD.NS,2026-03-02,1648.6,BUY,100.0,0.0,0.0,100.0
BRIGADE.NS,2026-03-02,678.6,BUY,100.0,0.0,0.0,100.0
SOBHA.NS,2026-03-02,1359.6,BUY,100.0,0.0,0.0,100.0
LODHA.NS,2026-03-02,966.2,BUY,100.0,0.0,0.0,100.0
PRESTIGE.NS,2026-03-02,1377.3,BUY,100.0,0.0,0.0,100.0
IBREALEST.NS,2026-03-02,58.93,BUY,100.0,0.0,0.0,100.0
SUNTECK.NS,2026-03-02,391.05,HOLD,0.1,99.9,0.0,99.9
SIGNATURE.NS,2026-03-02,960.7,HOLD,0.0,100.0,0.0,100.0
GODREJPROP.NS,2026-03-02,1733.5,HOLD,0.5,99.5,0.0,99.5
